,available,five_day_dollar_price,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost
898,0.0,480.0,15069603,0.67,False,De Baarsjes - Oud-West,52.36839,4.85363,Entire home/apt,2,1,1,4,96.0,2,1125,True,0,0,4.84,False,48.0,192.0,0.06,0.12,0.16,4.99
899,0.2054794520547945,1571.2328767123288,15081578,1.0,True,IJburg - Zeeburgereiland,52.35537,4.99057,Entire home/apt,6,3,7,20,314.0,4,30,True,0,0,5.0,False,52.33,1256.0,0.1,0.19,0.31,4.99
900,0.4876712328767123,628.3561643835617,15093623,0.36,False,Centrum-West,52.3729,4.89869,Private room,2,1,1,2,150.0,4,1125,True,0,3,4.93,False,75.0,600.0,0.08,0.19,0.2,4.99
901,0.0,650.0,15096042,0.6,False,Centrum-Oost,52.36161,4.89083,Private room,2,1,1,7,130.0,5,200,True,0,1,4.92,False,65.0,650.0,0.08,0.17,0.19,4.99
902,1.0,1812.3684210526317,15152694,0.68,True,Centrum-West,52.38265,4.89196,Entire home/apt,4,2,4,12,302.0,1,1125,True,5,1,4.96,False,75.5,302.0,0.12,0.2,0.16,4.99
903,0.0027397260273972603,1011.9041095890411,15167502,0.9,False,De Baarsjes - Oud-West,52.36472,4.87417,Entire home/apt,4,2,2,2,189.0,3,15,True,0,1,4.9,False,47.25,567.0,0.08,0.19,0.22,4.99
904,0.7506849315068493,1401.5890410958905,15209631,1.0,True,Oostelijk Havengebied - Indische Buurt,52.37165,4.93705,Entire home/apt,2,1,1,10,267.0,4,50,True,0,0,4.94,False,133.5,1068.0,0.11,0.23,0.25,4.99
905,0.00821917808219178,575.7945205479452,15210146,0.8,False,Bos en Lommer,52.3807,4.85693,Entire home/apt,2,1,1,8,83.0,3,15,True,0,0,4.96,False,41.5,249.0,0.05,0.1,0.16,4.99
906,0.043835616438356165,1271.4109589041095,15213109,0.42,False,Westerpark,52.38724,4.88051,Entire home/apt,4,2,2,11,298.0,3,1125,True,9,2,4.84,False,74.5,894.0,0.07,0.11,0.19,4.99
907,0.34794520547945207,655.972602739726,15260123,0.78,False,De Pijp - Rivierenbuurt,52.33335,4.89973,Private room,4,1,2,10,150.0,3,1001,True,0,2,4.66,False,37.5,450.0,0.07,0.18,0.17,4.99
908,0.5917808219178082,655.6164383561644,15276959,0.28,False,Centrum-Oost,52.37328,4.9026,Private room,2,1,1,4,150.0,4,1125,True,3,2,4.89,False,75.0,600.0,0.08,0.11,0.13,4.99
909,0.0,1099.3131868131868,15310556,0.61,False,De Pijp - Rivierenbuurt,52.35177,4.88864,Entire home/apt,2,1,1,7,206.0,4,1125,True,0,2,4.88,False,103.0,824.0,0.07,0.17,0.22,4.99
910,0.5178082191780822,715.2876712328767,15351762,0.75,False,Oostelijk Havengebied - Indische Buurt,52.36428,4.93597,Entire home/apt,2,1,2,10,141.0,4,8,True,2,2,4.96,True,70.5,564.0,0.05,0.19,0.16,4.99
911,0.0,1696.2328767123288,15351988,0.55,False,Centrum-West,52.37958,4.89447,Entire home/apt,4,2,5,15,339.0,7,1124,True,0,0,4.76,False,84.75,2373.0,0.09,0.1,0.16,4.99
912,0.0,650.3698630136986,15382115,0.82,False,Centrum-Oost,52.36849,4.9149,Entire home/apt,2,1,1,1,130.0,5,1125,True,0,0,4.94,False,65.0,650.0,0.05,0.17,0.14,4.99
913,0.0,455.0,15404775,0.66,False,Centrum-West,52.37456,4.89188,Private room,2,1,1,5,101.0,2,1125,True,0,0,4.5,True,50.5,202.0,0.06,0.22,0.19,4.99
914,0.0673076923076923,1664.423076923077,15416044,0.72,False,De Baarsjes - Oud-West,52.36707,4.8726,Entire home/apt,2,1,1,12,275.0,2,7,True,3,1,4.81,False,137.5,550.0,0.13,0.27,0.39,4.99
915,0.0,479.7260273972603,15465365,0.65,True,Centrum-West,52.37003,4.8779,Private room,2,1,1,5,93.0,4,7,True,0,1,4.95,False,46.5,372.0,0.05,0.12,0.15,4.99
916,0.8328767123287671,2375.0,15481220,0.43,False,Slotervaart,52.34927,4.83232,Entire home/apt,4,2,4,19,475.0,5,1125,True,0,0,4.48,False,118.75,2375.0,0.13,0.13,0.26,10.99
917,0.038356164383561646,1015.3424657534247,15504280,0.67,False,Watergraafsmeer,52.35083,4.92117,Entire home/apt,2,1,1,6,200.0,3,1125,True,0,1,4.86,False,100.0,600.0,0.1,0.15,0.25,4.99
918,0.0,370.0,15534081,0.92,False,Westerpark,52.394,4.87882,Entire home/apt,2,1,1,1,74.0,3,30,True,0,4,4.37,False,37.0,222.0,0.07,0.13,0.17,2.99
919,0.030136986301369864,748.5616438356165,15546882,1.0,False,IJburg - Zeeburgereiland,52.3603,4.97647,Entire home/apt,3,2,3,4,149.0,3,1125,True,0,0,4.86,True,49.67,447.0,0.07,0.11,0.17,4.99
920,0.17534246575342466,1203.6027397260275,15564496,0.0,False,Zuid,52.35128,4.85429,Entire home/apt,3,2,3,6,226.0,14,365,True,4,0,4.88,False,75.33,3164.0,0.06,0.2,0.16,4.99
921,0.0,875.0,15574248,0.0,False,Slotervaart,52.36497,4.82948,Entire home/apt,4,2,2,6,175.0,3,7,True,0,0,4.56,False,43.75,525.0,0.07,0.21,0.21,4.99
922,0.0,713.7260273972603,15591889,0.14,False,Zuid,52.34835,4.88619,Entire home/apt,3,2,2,7,120.0,4,14,True,0,0,5.0,False,40.0,480.0,0.06,0.11,0.18,4.99
923,0.0027397260273972603,1303.5753424657535,15599773,0.0,False,De Baarsjes - Oud-West,52.35795,4.85598,Entire home/apt,4,2,4,7,142.0,3,1125,True,1,0,5.0,False,35.5,426.0,0.06,0.1,0.15,4.99
924,0.01643835616438356,1656.986301369863,15611604,0.31,False,Zuid,52.34763,4.86774,Entire home/apt,4,2,3,12,331.0,4,1125,True,5,2,4.89,False,82.75,1324.0,0.12,0.16,0.23,4.99
925,0.0136986301369863,575.2739726027397,15630976,1.0,False,De Baarsjes - Oud-West,52.3733,4.85328,Entire home/apt,2,1,1,6,115.0,5,1125,True,2,0,5.0,False,57.5,575.0,0.07,0.12,0.17,4.99
926,0.003194888178913738,755.0319488817892,15642871,1.0,True,De Pijp - Rivierenbuurt,52.35076,4.88956,Entire home/apt,2,1,1,6,163.0,2,1125,True,1,0,4.98,False,81.5,326.0,0.06,0.17,0.18,4.99
927,0.0,1145.0,15658599,0.92,False,De Baarsjes - Oud-West,52.37333,4.86027,Entire home/apt,2,1,2,9,229.0,3,9,True,0,0,4.96,False,114.5,687.0,0.09,0.29,0.26,4.99
928,0.0410958904109589,265.47945205479454,15659592,0.86,True,De Pijp - Rivierenbuurt,52.35471,4.89586,Private room,1,1,1,1,90.0,6,23,True,15,2,4.81,False,90.0,540.0,0.05,0.13,0.15,4.99
929,0.0136986301369863,539.4246575342465,15693863,0.67,False,Oud-Noord,52.39982,4.90408,Entire home/apt,2,1,1,6,119.0,3,1001,True,4,3,4.45,False,59.5,357.0,0.08,0.13,0.18,4.99
930,0.0410958904109589,1002.3972602739726,15713472,0.33,False,Zuid,52.34966,4.84726,Entire home/apt,2,1,1,9,200.0,3,1125,True,1,0,4.72,False,100.0,600.0,0.09,0.24,0.3,4.99
931,0.04657534246575343,742.6027397260274,15752260,0.33,False,De Baarsjes - Oud-West,52.375,4.86429,Entire home/apt,2,1,2,7,220.0,10,60,True,17,0,4.89,False,110.0,2200.0,0.08,0.22,0.15,4.99
932,0.0,1245.0,15757001,0.52,False,Centrum-West,52.37944,4.8944,Entire home/apt,4,2,2,13,262.0,5,1124,True,0,0,4.78,True,65.5,1310.0,0.1,0.14,0.25,4.99
933,0.0,475.0,15771182,1.0,False,Bos en Lommer,52.38502,4.85134,Entire home/apt,2,1,1,1,95.0,3,13,True,0,0,4.89,False,47.5,285.0,0.06,0.12,0.15,4.99
934,0.7784090909090909,2749.346590909091,15771785,1.0,True,Oud-Noord,52.39591,4.9098,Entire home/apt,12,6,12,17,442.0,3,1125,True,5,7,4.37,True,36.83,1326.0,0.04,0.18,0.16,10.99
935,0.36103151862464183,994.1404011461318,15780515,1.0,True,Zuid,52.35896,4.8701,Entire home/apt,2,1,1,2,166.0,3,31,True,0,3,4.94,False,83.0,498.0,0.08,0.17,0.21,4.99
936,0.010958904109589041,625.0,15785019,0.56,False,Oud-Noord,52.39314,4.92747,Entire home/apt,3,2,1,3,125.0,6,1125,True,0,0,4.7,False,41.67,750.0,0.08,0.1,0.17,4.99
937,0.13150684931506848,950.8219178082192,15854242,1.0,False,Oud-Oost,52.35601,4.91086,Entire home/apt,2,1,2,5,183.0,2,30,True,0,0,4.8,False,91.5,366.0,0.07,0.15,0.19,4.99
938,0.7342465753424657,900.0,15861762,0.5,False,Oostelijk Havengebied - Indische Buurt,52.36459,4.93512,Entire home/apt,2,1,1,10,180.0,4,14,True,0,0,5.0,False,90.0,720.0,0.07,0.12,0.17,4.99
939,0.16712328767123288,825.0,15911681,0.96,False,Centrum-Oost,52.37186,4.90793,Entire home/apt,2,1,1,1,165.0,5,5,True,1,0,4.97,False,82.5,825.0,0.08,0.12,0.19,4.99
940,0.782608695652174,1750.0,15926617,0.73,False,Watergraafsmeer,52.34699,4.91347,Entire home/apt,4,2,2,12,350.0,2,28,True,0,0,4.89,False,87.5,700.0,0.1,0.18,0.31,4.99
941,0.26301369863013696,375.24657534246575,15936857,1.0,False,De Aker - Nieuw Sloten,52.34582,4.81618,Entire home/apt,2,1,1,8,68.0,7,9,True,0,0,4.58,True,34.0,476.0,0.05,0.16,0.14,2.99
942,0.2410958904109589,522.6027397260274,15946060,1.0,True,De Baarsjes - Oud-West,52.36745,4.87642,Private room,2,1,1,6,120.0,4,15,True,2,3,4.86,False,60.0,480.0,0.07,0.13,0.2,4.99
943,0.005479452054794521,695.0,15953085,0.71,False,Noord-West,52.40667,4.90481,Entire home/apt,4,2,2,6,139.0,4,109,True,0,0,5.0,False,34.75,556.0,0.06,0.13,0.17,4.99
944,0.0,1250.0,15959684,0.0,False,De Baarsjes - Oud-West,52.36096,4.87733,Entire home/apt,2,1,1,11,250.0,3,14,True,0,0,5.0,False,125.0,750.0,0.11,0.21,0.21,4.99
945,0.4301369863013699,1773.5068493150684,15995195,0.83,True,Centrum-West,52.37168,4.88168,Entire home/apt,2,1,1,12,350.0,3,1125,True,0,1,4.92,False,175.0,1050.0,0.1,0.3,0.24,4.99
946,0.0,879.068493150685,16003294,1.0,False,Westerpark,52.38307,4.88036,Private room,3,1,2,8,111.0,3,1125,True,0,0,4.97,False,37.0,333.0,0.06,0.12,0.18,4.99
947,0.03561643835616438,1000.0,16021092,0.64,False,De Baarsjes - Oud-West,52.3605,4.86495,Entire home/apt,4,2,3,7,200.0,5,60,True,0,0,4.86,False,50.0,1000.0,0.11,0.17,0.29,4.99
948,0.5232876712328767,871.0958904109589,16081933,1.0,True,De Pijp - Rivierenbuurt,52.35828,4.90187,Entire home/apt,2,1,1,10,170.0,3,30,True,4,6,4.92,False,85.0,510.0,0.09,0.15,0.24,4.99
949,0.0,1250.0,16107987,1.0,False,De Baarsjes - Oud-West,52.36307,4.86217,Entire home/apt,2,1,1,11,250.0,3,30,True,0,0,4.95,False,125.0,750.0,0.08,0.16,0.2,4.99
950,0.0,689.4657534246576,16153200,0.5,False,Westerpark,52.38414,4.87603,Entire home/apt,3,2,1,2,100.0,3,1124,True,0,0,4.83,False,33.33,300.0,0.07,0.1,0.18,4.99
951,0.2602739726027397,4044.5205479452056,16153298,0.37,False,Centrum-West,52.37972,4.88069,Entire home/apt,6,3,3,30,800.0,3,100,True,0,0,4.66,True,133.33,2400.0,0.13,0.23,0.4,10.99
952,0.005479452054794521,1025.7123287671234,16185181,1.0,False,Oostelijk Havengebied - Indische Buurt,52.37182,4.94153,Entire home/apt,4,2,1,11,171.0,3,28,True,1,0,4.75,False,42.75,513.0,0.09,0.14,0.19,4.99
953,0.059490084985835696,943.7252124645893,16197958,1.0,True,De Baarsjes - Oud-West,52.36455,4.87381,Entire home/apt,2,1,2,13,189.0,4,31,True,4,1,4.97,False,94.5,756.0,0.05,0.13,0.17,4.99
954,0.6986301369863014,1381.986301369863,16211736,1.0,True,Westerpark,52.37546,4.87656,Private room,4,1,3,8,275.0,5,1125,True,0,3,4.81,False,68.75,1375.0,0.1,0.22,0.19,4.99
955,0.0,522.4520547945206,16222778,0.57,False,Centrum-West,52.38001,4.88587,Private room,2,1,1,5,91.0,5,30,True,0,3,4.73,False,45.5,455.0,0.06,0.12,0.16,4.99
956,0.0,790.5128205128206,16235797,0.58,False,Centrum-Oost,52.36468,4.88678,Private room,4,1,1,6,81.0,1,15,True,0,0,4.53,True,20.25,81.0,0.05,0.12,0.17,4.99
957,0.14560439560439561,671.5247252747253,16247842,0.39,False,Zuid,52.34282,4.84821,Private room,2,1,2,6,149.0,2,365,True,4,1,4.46,True,74.5,298.0,0.08,0.14,0.19,4.99
